Indiana,Private,2 Year,17330,17330
South Carolina,Private,4 Year,28000,28000
Indiana,Private,4 Year,30450,30450
Georgia,Private,2 Year,17388,17388
Michigan,Private,4 Year,29288,29288
Texas,Public,2 Year,2625,5535
Texas,Public,4 Year,8489,20939
Massachusetts,Private,4 Year,37860,37860
Maryland,Public,2 Year,4110,12180
Minnesota,Public,2 Year,5584,5584
Minnesota,Public,2 Year,5073,5073
California,Public,2 Year,1420,9760
Ohio,Private,4 Year,35718,35718
California,Private,4 Year,20670,20670
Ohio,Private,4 Year,16210,16210
California,Private,4 Year,22575,22575
Washington,Private,4 Year,27435,27435
North Carolina,Private,4 Year,6200,6200
West Virginia,Private,4 Year,14720,14720
North Carolina,Public,4 Year,7214,22021
Michigan,Private,4 Year,32574,32574
Tennessee,Private,4 Year,23600,23600
Colorado,Public,2 Year,4811,18671
Pennsylvania,Private,4 Year,43580,43580
Arizona,Private,4 Year,26796,26796
Arizona,Public,4 Year,10822,28336
Arizona,Public,2 Year,2520,9510
Arkansas,Private,4 Year,8760,8760
Arkansas,Public,2 Year,2450,4250
Arkansas,Public,4 Year,8608,15298
Arkansas,Public,2 Year,3274,5014
Arkansas,Public,2 Year,3600,5760
Arkansas,Public,2 Year,3570,5580
Arkansas,Public,2 Year,3480,5310
Arkansas,Public,4 Year,9068,15848
Texas,Private,4 Year,13190,13190
Georgia,Public,4 Year,6384,19866
Ohio,Private,4 Year,33889,33889
California,Private,4 Year,43416,43416
Texas,Private,4 Year,24024,24024
Pennsylvania,Private,4 Year,14850,14850
Arizona,Private,4 Year,21645,21645
Pennsylvania,Private,4 Year,23376,23376
New York,Private,2 Year,14065,14065
Kentucky,Private,4 Year,30198,30198
North Carolina,Public,2 Year,2354,8114
California,Private,4 Year,12160,12160
Kentucky,Public,2 Year,5310,18000
Ohio,Private,4 Year,21342,21342
Georgia,Private,2 Year,1399,1399
Connecticut,Public,2 Year,4404,13170
Massachusetts,Private,4 Year,40958,40958
New Jersey,Private,2 Year,5888,5888
Alabama,Public,4 Year,6810,12870
Georgia,Public,2 Year,3292,5962
Georgia,Public,2 Year,4008,12088
Georgia,Public,2 Year,3350,6020
New Jersey,Public,2 Year,5096,8096
Alabama,Public,4 Year,11276,30524
Alabama,Public,4 Year,10288,22048
Minnesota,Private,4 Year,38800,38800
Georgia,Public,2 Year,3494,6164
Georgia,Public,4 Year,10758,29796
Illinois,Private,4 Year,42135,42135
South Dakota,Private,4 Year,33018,33018
Ohio,Private,2 Year,18510,18510
Illinois,Private,4 Year,24260,24260
Texas,Private,4 Year,39985,39985
Texas,Public,2 Year,2550,13020
Texas,Private,4 Year,11900,11900
Tennessee,Public,4 Year,8411,24467
Florida,Private,4 Year,20850,20850
Virginia,Private,4 Year,34400,34400
Missouri,Private,4 Year,19900,19900
California,Private,4 Year,38880,38880
Massachusetts,Private,4 Year,51104,51104
Kansas,Private,4 Year,29830,29830
California,Public,2 Year,1418,7838
Ohio,Private,4 Year,32586,32586
Indiana,Public,4 Year,9896,26468
Maryland,Public,2 Year,2893,6973
Missouri,Private,4 Year,14150,14150
Florida,Private,4 Year,12300,12300
Tennessee,Private,4 Year,14700,14700
Texas,Private,4 Year,6690,6690
Texas,Private,4 Year,7800,7800
Kansas,Private,4 Year,19690,19690
New York,Private,4 Year,54680,54680
Massachusetts,Private,4 Year,55732,55732
New York,Private,4 Year,55032,55032
Florida,Private,4 Year,29850,29850
California,Public,2 Year,1391,9131
North Carolina,Private,4 Year,30880,30880
Kansas,Public,2 Year,3440,3440
Washington,Private,4 Year,26166,26166
Maine,Private,4 Year,53794,53794
Washington,Public,2 Year,4783,10214
Louisiana,Public,2 Year,3981,8059
Michigan,Public,2 Year,4830,8910
Michigan,Public,2 Year,3250,3250
Massachusetts,Private,4 Year,34225,34225
Massachusetts,Private,2 Year,27750,27750
Texas,Private,4 Year,45727,45727
Florida,Private,4 Year,39016,39016
North Carolina,Public,2 Year,2344,8104
Massachusetts,Private,4 Year,39200,39200
Kentucky,Private,4 Year,4000,4000
New York,Private,4 Year,9500,9500
Mississippi,Private,4 Year,25300,25300
Kentucky,Private,4 Year,42200,42200
Washington,Public,2 Year,4258,9689
Nebraska,Private,4 Year,9390,9390
Wisconsin,Private,4 Year,22178,22178
Washington,Public,2 Year,2790,3460
North Carolina,Private,4 Year,18500,18500
Ohio,Public,2 Year,4973,8070
Tennessee,Private,4 Year,34310,34310
Wisconsin,Private,4 Year,50040,50040
Minnesota,Public,4 Year,8696,8696
South Carolina,Private,4 Year,16600,16600
Kansas,Private,4 Year,29530,29530
Illinois,Private,4 Year,34290,34290
Massachusetts,Private,2 Year,18690,18690
North Carolina,Private,4 Year,18513,18513
Vermont,Private,4 Year,54360,54360
Massachusetts,Private,4 Year,49880,49880
Kentucky,Private,4 Year,39990,39990
New Jersey,Public,2 Year,5610,10650
California,Private,4 Year,9450,9450
California,Public,2 Year,1432,9622
Massachusetts,Private,4 Year,42750,42750
Massachusetts,Public,2 Year,8569,15589
Georgia,Private,4 Year,36556,36556
New York,Private,4 Year,11750,11750
New Jersey,Private,4 Year,21388,21388
Kansas,Private,4 Year,28475,28475
West Virginia,Private,4 Year,29773,29773
Minnesota,Private,4 Year,27650,27650
Indiana,Private,4 Year,28590,28590
Kansas,Private,4 Year,28780,28780
Tennessee,Private,4 Year,16552,16552
Minnesota,Private,4 Year,37300,37300
California,Private,4 Year,8350,8350
Florida,Private,4 Year,14814,14814
Georgia,Private,4 Year,9880,9880
California,Private,4 Year,31060,31060
Alabama,Public,2 Year,4770,8640
Washington,Public,2 Year,4272,9703
Kentucky,Public,2 Year,5310,18000
California,Private,4 Year,40488,40488
Alabama,Private,4 Year,17650,17650
Alabama,Public,2 Year,4740,8610
North Dakota,Public,2 Year,4790,6785
Illinois,Public,2 Year,4470,7650
South Dakota,Public,4 Year,8733,11778
Arkansas,Public,2 Year,3660,6510
Illinois,Private,4 Year,22410,22410
Montana,Public,2 Year,3590,3590
Wisconsin,Public,2 Year,4340,6623
North Carolina,Public,2 Year,2528,8672
Illinois,Private,4 Year,25250,25250
Texas,Public,2 Year,3540,10050
New Jersey,Private,4 Year,29550,29550
Pennsylvania,Public,4 Year,10958,22532
Mississippi,Private,4 Year,12584,12584
Oregon,Public,2 Year,6188,15908
West Virginia,Public,2 Year,4128,7464
North Carolina,Public,2 Year,2365,8125
Virginia,Public,2 Year,5364,11292
Virginia,Private,4 Year,25290,25290
West Virginia,Public,4 Year,8820,16920
Kentucky,Public,2 Year,5310,18000
Ohio,Private,4 Year,32766,32766
South Carolina,Private,4 Year,18150,18150
Idaho,Private,4 Year,12520,12520
Idaho,Public,4 Year,7694,23776
Missouri,Private,2 Year,18292,18292
New York,Private,4 Year,11025,11025
Louisiana,Public,2 Year,4283,8960
Massachusetts,Private,4 Year,21894,21894
Massachusetts,Private,4 Year,12600,12600
Massachusetts,Private,4 Year,55464,55464
Massachusetts,Private,4 Year,46020,46020
Massachusetts,Private,4 Year,53948,53948
Maine,Private,4 Year,53922,53922
Maryland,Public,4 Year,8233,18873
Ohio,Public,4 Year,11105,19093
Ohio,Public,2 Year,4912,12901
Illinois,Private,4 Year,33760,33760
Massachusetts,Private,4 Year,55395,55395
California,Private,4 Year,15380,15380
Texas,Public,2 Year,2715,5355
Georgia,Private,4 Year,29050,29050
Kentucky,Private,4 Year,22400,22400
North Carolina,Private,4 Year,29350,29350
Georgia,Private,4 Year,18690,18690
Iowa,Private,4 Year,31964,31964
West Virginia,Public,2 Year,5460,13020
Virginia,Private,4 Year,35160,35160
Massachusetts,Public,4 Year,10367,16507
Utah,Private,4 Year,5620,5620
Hawaii,Private,4 Year,5560,5560
Idaho,Private,4 Year,4118,4118
Massachusetts,Public,2 Year,5970,12150
New Jersey,Public,2 Year,5216,9281
Texas,Public,2 Year,1770,5220
New York,Public,2 Year,5482,10210
Florida,Public,2 Year,3540,11190
Rhode Island,Private,4 Year,55656,55656
North Carolina,Public,2 Year,2380,8140
Nebraska,Private,4 Year,18270,18270
Tennessee,Private,4 Year,26800,26800
Arkansas,Private,2 Year,10230,10230
Rhode Island,Private,4 Year,43973,43973
Pennsylvania,Private,4 Year,22815,22815
Pennsylvania,Private,4 Year,52360,52360
Pennsylvania,Private,4 Year,56092,56092
Pennsylvania,Public,2 Year,5660,14660
Iowa,Private,4 Year,34004,34004
Massachusetts,Public,2 Year,5580,11760
Kansas,Public,2 Year,3180,5310
Pennsylvania,Public,2 Year,4950,10950
Indiana,Private,4 Year,41120,41120
California,Public,2 Year,1498,8518
North Carolina,Private,4 Year,13194,13194
California,Public,2 Year,1500,9300
Pennsylvania,Private,4 Year,31920,31920
Pennsylvania,Private,4 Year,27279,27279
North Carolina,Public,2 Year,2356,8116
New Jersey,Private,4 Year,34715,34715
Alabama,Public,2 Year,4840,8690
California,Private,4 Year,33478,33478
California,Private,4 Year,9570,9570
California,Private,4 Year,4500,4500
California,Private,4 Year,49138,49138
California,Private,4 Year,20230,20230
California,Private,4 Year,52362,52362
California,Private,4 Year,49276,49276
California,Private,4 Year,42693,42693
California,Public,4 Year,7135,13273
California,Private,4 Year,12180,12180
California,Private,4 Year,32500,32500
California,Public,4 Year,9816,21696
California,Public,4 Year,7353,19233
California,Public,4 Year,7147,19027
California,Public,4 Year,6817,18697
California,Public,4 Year,7618,17122
California,Public,4 Year,6837,18717
California,Public,4 Year,6834,18714
California,Public,4 Year,6585,18465
California,Public,4 Year,6870,18750
California,Public,4 Year,6798,18678
California,Public,4 Year,6639,18519
California,Public,4 Year,7143,19023
California,Public,4 Year,6888,17622
California,Public,4 Year,7204,19084
California,Public,4 Year,6656,13064
California,Public,4 Year,7648,19166
California,Public,4 Year,7076,20290
California,Private,4 Year,10410,10410
Pennsylvania,Public,4 Year,11108,14966
Indiana,Private,4 Year,19870,19870
Missouri,Private,4 Year,11164,11164
Michigan,Private,4 Year,34600,34600
Massachusetts,Private,4 Year,13040,13040
New Jersey,Public,2 Year,4320,4440
Oklahoma,Public,4 Year,6450,15870
North Carolina,Private,4 Year,32500,32500
Kentucky,Private,4 Year,25400,25400
California,Public,2 Year,1440,8670
New York,Private,4 Year,28488,28488
North Dakota,Public,2 Year,4050,4050
Massachusetts,Public,2 Year,6330,12510
North Carolina,Public,2 Year,2590,8350
Minnesota,Private,4 Year,13788,13788
Connecticut,Public,2 Year,4404,13172
Ohio,Private,4 Year,35466,35466
Maryland,Private,4 Year,25428,25428
Wisconsin,Private,4 Year,29998,29998
Nevada,Private,2 Year,11250,11250
Utah,Private,2 Year,22841,22841
Oklahoma,Public,2 Year,3818,7943
Illinois,Public,2 Year,5000,8330
Minnesota,Private,4 Year,54759,54759
Florida,Private,4 Year,10234,10234
Pennsylvania,Private,4 Year,29454,29454
Pennsylvania,Private,4 Year,55465,55465
North Carolina,Private,4 Year,8300,8300
Montana,Private,4 Year,35486,35486
Maryland,Public,2 Year,5160,10448
Wisconsin,Private,4 Year,31918,31918
Tennessee,Private,4 Year,27900,27900
North Carolina,Public,2 Year,2372,8132
Wisconsin,Private,4 Year,43550,43550
Georgia,Private,4 Year,13475,13475
Washington,Public,2 Year,4447,9878
Ohio,Private,4 Year,49042,49042
Wyoming,Public,2 Year,3072,7584
Vermont,Public,4 Year,12314,28322
North Carolina,Private,4 Year,30520,30520
North Carolina,Public,2 Year,2400,8160
West Virginia,Private,4 Year,10050,10050
New York,Public,2 Year,5290,9948
New York,Private,4 Year,34630,34630
Maryland,Public,2 Year,4305,9015
Pennsylvania,Private,4 Year,39216,39216
Texas,Public,2 Year,1770,5220
Ohio,Private,4 Year,30270,30270
Louisiana,Private,4 Year,36580,36580
New Jersey,Private,4 Year,32998,32998
Alabama,Public,2 Year,4740,8610
Arizona,Public,2 Year,2580,11100
Arkansas,Private,4 Year,16200,16200
North Carolina,Public,2 Year,2392,8152
South Carolina,Public,2 Year,5760,9630
Kansas,Private,4 Year,26674,26674
Iowa,Private,4 Year,37295,37295
Nebraska,Public,2 Year,3000,4320
Connecticut,Public,4 Year,10616,21856
Georgia,Public,2 Year,3308,5978
Minnesota,Public,2 Year,5492,5492
Maine,Public,2 Year,3720,6540
Missouri,Private,4 Year,24420,24420
Michigan,Public,4 Year,12960,12960
New Mexico,Public,2 Year,1626,7338
Ohio,Public,2 Year,4536,7296
Oregon,Public,2 Year,4938,13218
Pennsylvania,Private,4 Year,18714,18714
North Carolina,Public,2 Year,2792,8936
Ohio,Public,4 Year,6346,8346
Texas,Public,2 Year,2700,7050
Virginia,Public,2 Year,4838,10766
Washington,Public,4 Year,8072,23053
Wyoming,Public,2 Year,3120,7632
New York,Private,4 Year,7700,7700
Washington,Public,2 Year,4438,4873
Kentucky,Private,4 Year,41700,41700
Minnesota,Public,2 Year,5417,5417
California,Public,2 Year,1438,9688
California,Public,2 Year,1382,7802
California,Public,2 Year,1414,9664
Nebraska,Public,4 Year,7196,7196
California,Public,2 Year,1414,9454
Illinois,Private,4 Year,20850,20850
Hawaii,Private,4 Year,25374,25374
Vermont,Private,4 Year,41010,41010
Arizona,Public,2 Year,2580,9810
California,Private,4 Year,52724,52724
California,Private,4 Year,17440,17440
South Carolina,Private,4 Year,25500,25500
North Carolina,Private,4 Year,10688,10688
Connecticut,Public,4 Year,10161,13101
Ohio,Private,2 Year,12184,12184
Pennsylvania,Private,4 Year,37611,37611
Georgia,Public,2 Year,3350,6020
Alabama,Public,2 Year,4560,8670
Tennessee,Public,2 Year,4778,17684
Oregon,Public,2 Year,4725,12960
Maryland,Public,2 Year,4760,9110
Pennsylvania,Private,4 Year,36180,36180
Pennsylvania,Public,4 Year,9479,14495
Illinois,Public,4 Year,12177,20877
Montana,Public,2 Year,2260,2260
Florida,Public,2 Year,3160,8990
Wisconsin,Public,2 Year,4364,6377
North Carolina,Private,4 Year,24980,24980
Virginia,Private,4 Year,26360,26360
Tennessee,Private,4 Year,32820,32820
Virginia,Public,4 Year,14754,27220
Ohio,Private,4 Year,17528,17528
Ohio,Private,2 Year,20475,20475
Ohio,Public,2 Year,5242,10001
Texas,Public,2 Year,2940,5070
California,Public,2 Year,1450,9520
California,Public,2 Year,1414,8644
Illinois,Public,2 Year,3504,11544
Illinois,Public,2 Year,3504,11544
Illinois,Public,2 Year,3504,11544
Illinois,Public,2 Year,3504,11544
Illinois,Public,2 Year,3504,11544
Illinois,Public,2 Year,3504,11544
Illinois,Public,2 Year,3504,11544
New York,Public,4 Year,7261,18531
New York,Public,2 Year,5169,9969
New York,Public,2 Year,5205,10005
New York,Public,4 Year,7240,18510
New York,Public,4 Year,7140,18410
New York,Public,4 Year,7289,18559
New York,Public,2 Year,5193,9993
New York,Public,2 Year,5206,10006
New York,Public,4 Year,7180,18450
New York,Public,4 Year,7270,18540
New York,Public,2 Year,5253,10053
New York,Public,2 Year,5217,10017
New York,Public,4 Year,7209,18479
New York,Public,4 Year,7153,18423
New York,Public,4 Year,7120,18390
New York,Public,4 Year,7338,18608
New York,Public,2 Year,5209,10009
New York,Public,4 Year,7157,18427
Oregon,Public,2 Year,4944,12414
South Carolina,Private,4 Year,16622,16622
California,Private,4 Year,54405,54405
Texas,Public,2 Year,5250,7560
Pennsylvania,Public,4 Year,11175,15033
Georgia,Private,4 Year,23436,23436
Washington,Public,2 Year,4287,9718
Ohio,Public,2 Year,4480,8420
Massachusetts,Private,4 Year,45730,45730
Iowa,Private,4 Year,33350,33350
Pennsylvania,Private,4 Year,23890,23890
Nebraska,Private,4 Year,16920,16920
New York,Private,4 Year,49444,49444
Oregon,Public,2 Year,5130,9720
Georgia,Public,4 Year,6410,19486
Kentucky,Private,4 Year,9440,9440
Michigan,Private,4 Year,20250,20250
South Carolina,Public,4 Year,14970,36724
North Carolina,Public,2 Year,2372,8132
Ohio,Private,4 Year,42055,42055
Ohio,Private,4 Year,41987,41987
Tennessee,Public,2 Year,4539,17445
Ohio,Public,4 Year,10625,14992
South Carolina,Private,2 Year,10020,10020
Iowa,Public,2 Year,4860,6870
New York,Public,2 Year,6090,11096
Kansas,Public,2 Year,3030,3470
Washington,Public,2 Year,4271,4271
New Mexico,Public,2 Year,1296,2904
Mississippi,Public,2 Year,2996,3446
Alabama,Public,2 Year,4740,8610
Texas,Public,2 Year,2646,4956
North Carolina,Public,2 Year,2492,8636
South Carolina,Public,4 Year,11536,26648
Georgia,Public,2 Year,3248,5918
California,Public,2 Year,1400,9530
Arizona,Public,2 Year,2550,7800
New York,Private,2 Year,11302,11302
Arizona,Public,2 Year,3480,11655
Iowa,Private,4 Year,45000,45000
Kansas,Public,2 Year,2160,3630
California,Private,4 Year,20056,20056
South Carolina,Private,4 Year,29328,29328
Maine,Private,4 Year,55210,55210
Kansas,Public,2 Year,3616,5504
New Hampshire,Private,4 Year,42398,42398
California,Private,4 Year,20725,20725
New York,Private,4 Year,55870,55870
Michigan,Private,4 Year,44110,44110
California,Public,2 Year,1416,9606
Texas,Private,4 Year,8590,8590
Florida,Private,2 Year,12222,12222
Florida,Private,2 Year,12222,12222
Florida,Private,2 Year,12222,12222
Florida,Public,2 Year,3213,12656
South Carolina,Public,4 Year,12738,31920
Georgia,Public,4 Year,3971,10578
Indiana,Private,2 Year,11250,11250
Illinois,Public,2 Year,4080,11790
Idaho,Public,2 Year,5205,8301
Idaho,Private,4 Year,30155,30155
Illinois,Public,2 Year,4230,13110
California,Public,2 Year,1418,11018
Wisconsin,Private,2 Year,7600,7600
New York,Private,4 Year,38180,38180
New York,Private,4 Year,37760,37760
Nebraska,Private,4 Year,20350,20350
New York,Private,4 Year,32574,32574
California,Public,2 Year,1418,8648
Idaho,Public,2 Year,4200,8550
Maryland,Public,2 Year,3825,8580
Nevada,Public,2 Year,3458,10370
Minnesota,Private,4 Year,45264,45264
New Jersey,Private,4 Year,33613,33613
Vermont,Private,4 Year,18520,18520
Minnesota,Private,4 Year,37212,37212
North Carolina,Public,2 Year,2407,8167
Maine,Private,4 Year,43542,43542
California,Public,2 Year,1154,7034
California,Public,2 Year,1420,8890
Massachusetts,Private,4 Year,52770,52770
Texas,Public,2 Year,1773,3873
Oklahoma,Public,2 Year,6593,15008
Arkansas,Public,2 Year,3680,6530
Missouri,Private,4 Year,19360,19360
California,Public,2 Year,1418,9188
California,Public,2 Year,1450,8560
California,Public,2 Year,1430,9170
New York,Private,2 Year,23350,23350
Idaho,Public,2 Year,4170,9180
Virginia,Public,4 Year,23400,44701
Ohio,Private,4 Year,50250,50250
Texas,Public,2 Year,1384,4474
Colorado,Private,4 Year,31866,31866
Colorado,Private,4 Year,55470,55470
Colorado,Public,4 Year,9243,22440
Colorado,Public,2 Year,2700,13890
Colorado,Public,2 Year,4906,7885
Colorado,Private,2 Year,12148,12148
Colorado,Public,4 Year,18964,38584
Colorado,Private,2 Year,21500,21500
Colorado,Public,4 Year,11831,29732
Colorado,Public,4 Year,10500,10500
Colorado,Public,4 Year,10408,26329
Washington,Public,2 Year,5563,8532
South Carolina,Private,4 Year,19500,19500
Missouri,Private,4 Year,22704,22704
California,Public,2 Year,1418,9158
Illinois,Private,4 Year,27176,27176
California,Private,4 Year,25140,25140
Wisconsin,Private,4 Year,29700,29700
South Carolina,Private,4 Year,23690,23690
Alabama,Private,4 Year,6785,6785
Tennessee,Public,2 Year,4473,17379
New York,Private,4 Year,59985,59985
New York,Private,4 Year,57549,57549
New York,Public,2 Year,5094,9774
Ohio,Private,4 Year,36020,36020
Ohio,Public,2 Year,4638,9591
Georgia,Public,4 Year,7200,20682
Georgia,Public,2 Year,3312,5982
Texas,Private,2 Year,5130,5130
Pennsylvania,Private,2 Year,11324,11324
Pennsylvania,Public,2 Year,4194,10920
Colorado,Public,2 Year,4887,18747
Maryland,Public,2 Year,4896,11736
Pennsylvania,Public,2 Year,5970,15390
Colorado,Public,2 Year,5757,19617
Pennsylvania,Public,2 Year,5448,14712
Rhode Island,Public,2 Year,4564,12156
Vermont,Public,2 Year,8190,16230
Missouri,Private,4 Year,21526,21526
West Virginia,Public,4 Year,7896,17320
New York,Private,4 Year,32900,32900
Alabama,Private,4 Year,10120,10120
Minnesota,Private,4 Year,39878,39878
Michigan,Private,4 Year,29320,29320
Oregon,Private,4 Year,30908,30908
Nebraska,Private,4 Year,32220,32220
Illinois,Private,4 Year,32078,32078
California,Private,4 Year,35400,35400
Minnesota,Private,4 Year,22275,22275
Texas,Private,4 Year,31810,31810
Wisconsin,Private,4 Year,29450,29450
Connecticut,Private,4 Year,54820,54820
Oklahoma,Public,2 Year,4328,9031
California,Public,2 Year,1392,9162
South Carolina,Private,4 Year,18690,18690
New York,Private,4 Year,46700,46700
Mississippi,Public,2 Year,3180,5180
California,Public,2 Year,1388,9120
Maryland,Public,4 Year,6625,12896
Oregon,Private,4 Year,33040,33040
Iowa,Private,4 Year,42299,42299
New York,Private,4 Year,55188,55188
Michigan,Private,4 Year,24500,24500
New York,Public,2 Year,5348,10148
Washington,Private,4 Year,41642,41642
Arkansas,Public,2 Year,3450,4290
California,Public,2 Year,1416,9546
Missouri,Private,4 Year,21150,21150
New Jersey,Public,2 Year,4920,12060
Georgia,Private,4 Year,34330,34330
Kansas,Public,2 Year,3000,4710
Missouri,Private,4 Year,15510,15510
California,Public,2 Year,1425,10125
North Carolina,Public,2 Year,2578,8338
Nebraska,Private,4 Year,27700,27700
Nebraska,Private,4 Year,39916,39916
Texas,Private,4 Year,13120,13120
Indiana,Private,4 Year,12400,12400
Missouri,Public,2 Year,3540,5040
Arkansas,Private,2 Year,13000,13000
Minnesota,Private,4 Year,26200,26200
California,Public,2 Year,1418,9158
Texas,Private,2 Year,15828,15828
New York,Private,4 Year,32720,32720
Missouri,Private,4 Year,26680,26680
New Jersey,Public,2 Year,4500,8700
Tennessee,Private,4 Year,22890,22890
Massachusetts,Private,4 Year,39720,39720
Ohio,Public,2 Year,3436,8136
California,Public,2 Year,1428,9168
California,Public,2 Year,1414,9154
New York,Private,4 Year,26750,26750
Virginia,Public,2 Year,4710,10008
New York,Private,4 Year,28580,28580
North Dakota,Public,2 Year,4568,6444
Minnesota,Public,2 Year,5712,5712
South Dakota,Public,4 Year,9276,12249
South Dakota,Private,4 Year,27300,27300
Texas,Private,4 Year,28870,28870
Texas,Private,4 Year,17620,17620
Texas,Private,2 Year,11870,11870
Georgia,Public,4 Year,4246,12668
Illinois,Public,2 Year,4650,7950
Virginia,Public,2 Year,4710,10008
New Hampshire,Private,4 Year,55453,55453
Michigan,Private,4 Year,22800,22800
North Carolina,Private,4 Year,51447,51447
North Carolina,Public,2 Year,2435,8195
West Virginia,Private,4 Year,29390,29390
New York,Private,4 Year,17150,17150
Montana,Public,2 Year,3720,7770
Florida,Public,2 Year,3109,11998
California,Public,2 Year,1515,8940
Massachusetts,Private,2 Year,39734,39734
Ohio,Private,4 Year,32730,32730
Texas,Public,2 Year,3170,5780
Delaware,Private,2 Year,25395,25395
Pennsylvania,Public,2 Year,5960,13400
Delaware,Public,4 Year,7868,16904
Delaware,Public,2 Year,4855,11583
Delaware,Public,2 Year,4855,11583
Delaware,Public,2 Year,4855,11583
Pennsylvania,Private,4 Year,39440,39440
Louisiana,Public,2 Year,4079,5154
Michigan,Public,2 Year,3400,10870
Mississippi,Public,4 Year,7246,7246
Ohio,Private,4 Year,51960,51960
South Carolina,Public,2 Year,5400,9150
Illinois,Private,4 Year,39975,39975
Indiana,Private,4 Year,49704,49704
Iowa,Public,2 Year,4710,9420
Pennsylvania,Private,4 Year,37600,37600
California,Private,4 Year,23860,23860
California,Public,2 Year,1390,9160
Pennsylvania,Private,4 Year,54661,54661
North Dakota,Public,4 Year,6765,9544
Washington,Private,4 Year,30350,30350
Louisiana,Private,4 Year,18099,18099
Arizona,Public,2 Year,1410,1410
Iowa,Private,4 Year,13485,13485
Utah,Public,4 Year,5253,15051
Nebraska,Private,4 Year,33800,33800
Kansas,Public,2 Year,2840,3680
New York,Private,4 Year,29000,29000
Illinois,Private,4 Year,33434,33434
California,Private,4 Year,45850,45850
New Mexico,Public,2 Year,1776,5664
Kansas,Private,2 Year,9000,9000
Iowa,Private,4 Year,30870,30870
Iowa,Private,4 Year,41396,41396
New Jersey,Private,4 Year,39500,39500
Pennsylvania,Private,4 Year,53279,53279
Missouri,Private,4 Year,28365,28365
North Carolina,Private,4 Year,55695,55695
Pennsylvania,Private,4 Year,38178,38178
North Carolina,Public,2 Year,2372,8132
New York,Public,2 Year,4404,8268
Tennessee,Public,2 Year,4235,16523
Indiana,Private,4 Year,46450,46450
Arkansas,Public,2 Year,2880,3720
North Carolina,Public,4 Year,7188,23465
Missouri,Public,2 Year,3240,6120
Mississippi,Public,2 Year,2870,4970
Oklahoma,Public,4 Year,6810,17700
Georgia,Public,2 Year,3666,11412
California,Public,2 Year,1404,8934
Mississippi,Public,2 Year,3440,6440
Pennsylvania,Public,4 Year,11084,23516
Tennessee,Public,4 Year,9277,28459
Texas,Private,4 Year,26370,26370
Illinois,Private,4 Year,20970,20970
Arizona,Public,2 Year,2700,8700
Connecticut,Public,4 Year,11356,22596
Florida,Public,2 Year,3140,12193
Ohio,Public,2 Year,4040,7280
Illinois,Public,4 Year,11803,14023
New Jersey,Private,2 Year,9000,9000
Kentucky,Public,4 Year,9296,19074
Maine,Public,2 Year,3816,6636
Virginia,Private,4 Year,37100,37100
Michigan,Public,4 Year,13959,13959
Massachusetts,Private,4 Year,25598,25598
New Mexico,Public,4 Year,6206,8128
New Mexico,Public,2 Year,2256,5616
