Private,601,396,203,525,323,6.8,47
Private,1283,1113,401,1355,40,13.5,67
Public,4158,2532,902,6394,3881,16.7,49
Public,4681,4101,1436,8094,1596,19.7,50
Public,2785,2011,1007,6507,898,18.1,51
Private,174,146,88,1047,33,15.2,58
Private,1013,888,288,943,7,11.4,74
Private,959,771,351,1662,209,12.8,47
Private,212,197,91,471,148,9.3,52
Private,342,254,126,518,232,8.3,73
Private,81,72,51,139,3,9.3,58
Private,880,520,224,1068,364,11.1,63
Public,883,766,428,2910,1749,21.2,48
Private,1196,697,499,959,13,16.9,21
Private,1860,767,227,887,1,9.6,87
Private,2887,2059,457,1928,296,10.5,79
Private,460,340,167,604,350,11.0,74
Private,2174,1953,557,2332,53,15.8,77
Public,8065,5257,2301,11755,770,18.0,73
Public,689,561,250,1125,422,18.1,46
Private,1006,742,275,1127,205,12.7,67
Private,604,452,295,690,222,12.1,75
Private,2848,1319,456,1720,35,10.2,91
Private,4856,2492,727,2649,25,10.5,93
Private,1432,888,317,1121,493,12.9,96
Public,4772,3140,1265,6851,1200,17.2,51
Private,798,620,238,1165,1232,11.1,100
Private,946,648,177,707,432,11.9,83
Private,344,264,97,500,331,10.4,43
Private,457,356,177,667,1983,11.5,75
Private,938,864,511,1715,103,13.1,72
Private,511,411,186,1692,562,11.5,77
Private,444,359,122,493,968,11.4,78
Private,983,664,249,1698,894,14.3,64
Private,546,447,189,873,683,14.0,80
Private,141,118,55,201,173,9.5,76
Private,672,596,278,1350,275,11.6,72
Private,2994,1691,659,2675,22,11.3,95
Public,7117,3106,1217,5186,134,12.1,93
Private,2100,1883,553,1704,1,11.1,69
Private,3207,1577,490,1892,7,11.3,84
Public,9478,6312,2194,15646,1829,19.2,59
Private,314,158,132,690,5346,15.3,37
Private,737,614,242,968,237,14.7,76
Private,6756,1930,871,3376,55,5.9,99
Private,281,266,139,1049,181,12.8,45
Private,232,216,106,534,172,12.1,42
Private,688,497,144,641,101,13.1,55
Private,528,403,186,1168,145,12.1,75
Private,3035,1546,438,1630,232,10.7,91
Private,440,407,149,643,80,10.2,75
Private,1538,1329,383,1140,10,12.2,64
Private,2967,2836,876,3450,644,6.5,85
Private,1576,1110,274,992,112,14.1,51
Private,995,789,398,1306,122,13.0,63
Private,866,619,157,1074,336,14.6,46
Private,504,482,185,550,84,12.6,54
Private,585,508,153,460,536,22.2,72
Private,8587,2273,1087,3918,32,4.7,98
Private,2373,956,452,1601,6,12.0,94
Private,571,461,174,645,283,12.8,56
Public,967,945,459,2806,538,17.1,58
Private,2762,2279,533,1835,14,11.6,81
Private,1994,1656,495,1983,36,11.1,82
Private,3014,2539,487,1889,62,11.2,87
Public,434,412,319,1376,237,16.5,46
Private,1998,1376,651,1539,45,14.1,61
Private,793,709,244,1022,411,15.1,60
Private,360,329,108,756,863,12.7,54
Private,604,562,328,1048,56,12.5,87
Private,1011,829,410,1059,2458,12.4,42
Private,2799,2573,839,3322,726,15.0,77
Private,2153,1580,321,1192,87,10.2,83
Private,700,650,314,1065,48,13.2,67
Private,13789,3893,1583,6188,53,5.0,97
Private,1358,1006,274,1028,13,10.6,78
Public,9274,6362,2435,13171,1687,13.2,58
Public,3330,2730,1303,6706,2640,14.0,42
Private,379,341,265,1050,151,15.7,38
Private,458,369,165,1057,355,13.6,54
Public,2172,1493,564,2766,1531,16.9,50
Public,5597,4253,1565,9161,845,16.2,76
Private,486,440,227,903,59,11.4,82
Private,516,409,200,1238,30,17.3,70
Private,1422,1109,366,1363,23,12.8,59
Private,2417,1843,426,1476,299,12.8,81
Private,1457,1045,345,1109,502,21.5,64
Private,245,208,125,544,436,11.3,86
Private,3624,2786,858,2933,334,18.9,63
Private,3151,2584,958,4772,856,16.5,44
Private,765,646,226,809,32,13.9,82
Private,8506,4168,1236,5544,192,5.0,96
Public,1256,1256,853,3957,588,19.3,50
Private,659,557,167,532,35,13.5,67
Private,560,454,113,484,16,10.6,53
Public,1801,1101,438,3065,363,18.1,68
Private,4784,3346,781,2984,1037,15.1,94
Public,1455,1064,452,2632,617,15.1,24
Private,1339,1107,336,1051,82,12.5,22
Private,1415,714,338,1345,44,18.1,69
Private,1947,1580,523,1863,233,10.6,57
Public,3306,2079,1071,10208,9310,13.9,66
Private,1381,1040,374,1506,970,17.4,68
Public,11651,8683,3023,18906,3242,23.1,58
Private,291,245,126,981,337,21.5,62
Private,4200,2874,942,4740,1646,14.4,80
Public,3440,2823,1123,3793,486,19.1,46
Public,1801,1655,819,3224,436,19.1,43
Private,553,452,228,1301,242,14.9,83
Private,804,632,281,840,68,12.5,60
Private,5187,4471,446,1818,1197,17.6,51
Private,895,548,314,1174,50,16.1,62
Private,346,274,146,704,63,10.5,54
Private,2161,1951,685,2371,175,13.5,82
Private,2464,1908,678,2693,691,13.3,65
Private,1110,930,332,1603,374,15.2,29
Private,668,534,237,1306,258,20.1,74
Private,809,726,294,1271,43,13.5,52
Public,5653,4326,1727,9528,3822,19.3,46
Private,7875,5062,1492,5471,1470,7.6,72
Private,727,693,286,1063,48,13.3,55
Private,11115,2881,1390,5881,406,7.2,95
Public,7837,4527,2276,8528,654,19.3,70
Public,3793,2341,1238,7732,9054,19.0,34
Private,348,281,127,1095,785,12.2,76
Private,3596,2466,575,1944,46,12.1,83
Private,633,468,284,823,963,27.6,36
Private,1886,1524,526,2523,296,14.7,69
Private,674,565,282,1151,39,14.2,66
Private,440,396,221,910,166,9.9,72
Private,1151,813,248,850,80,9.2,77
Private,548,428,167,618,113,15.3,64
Private,555,414,242,996,2281,23.6,47
Public,5165,3887,1561,8234,2619,20.6,57
Private,780,628,198,545,42,14.0,76
Private,608,494,176,649,314,13.0,39
Private,510,387,194,771,53,14.3,60
Private,2039,1389,432,1333,30,9.5,83
Private,2491,1110,573,2213,35,18.4,100
Private,1202,1054,326,1410,299,15.6,65
Private,1709,1385,634,2281,50,12.5,80
Private,380,237,104,716,1108,7.8,96
Private,3140,1783,454,1646,24,9.6,91
Private,1006,825,328,1362,102,13.0,65
Private,817,644,307,945,1,13.3,69
Private,7178,3755,1433,4623,740,14.0,70
Private,1006,837,317,1024,15,10.6,64
Private,467,424,350,1365,334,13.7,38
Private,1721,1068,806,3128,213,17.7,73
Private,2083,1725,430,1464,67,12.3,73
Private,13865,2165,1606,6862,320,9.9,100
Private,1377,572,178,654,5,8.2,100
Private,817,708,262,935,37,13.0,52
Private,823,721,274,954,6,13.1,63
Private,920,745,347,1133,42,12.0,79
Private,922,729,244,1000,275,10.6,79
Private,2688,2081,500,1792,5,12.1,79
Private,7428,5860,1349,6534,1350,13.9,60
Private,602,498,215,795,74,11.1,72
Private,699,565,176,710,399,14.4,72
Private,1712,1483,624,2505,208,12.5,72
Private,949,786,302,1210,26,15.0,67
Private,608,520,127,538,126,11.4,44
Private,450,430,125,488,43,11.8,47
Private,600,197,124,392,69,12.9,21
Private,723,652,361,951,706,22.0,84
Private,607,558,269,1222,519,11.6,75
Private,894,787,262,909,28,15.6,52
Private,1756,1360,478,1911,626,12.3,56
Public,8681,6695,2408,15701,1823,21.0,54
Private,3050,1342,471,1818,23,12.9,83
Private,268,253,103,494,1305,11.2,69
Private,1163,927,386,1685,556,11.4,95
Public,5659,4761,3147,8596,1949,16.6,40
Public,16587,13243,5873,24763,2717,21.3,68
Private,735,423,366,2448,707,39.8,34
Private,4892,3530,913,3906,1446,16.0,66
Public,8427,7424,3441,18676,1715,19.2,65
Private,7259,5526,1368,5612,166,11.5,75
Public,11223,5285,2082,9652,742,17.9,98
Private,472,410,262,9950,71,17.0,54
Public,2957,1423,691,3817,1394,14.9,26
Private,605,405,284,961,99,13.3,75
Private,2421,2109,820,3168,392,14.5,89
Private,8474,3446,911,3566,1569,3.3,90
Public,833,669,279,1224,345,14.4,36
Private,313,228,137,552,67,10.6,56
Private,1005,859,298,1075,43,12.7,80
Public,5880,4075,2833,14914,2246,18.5,54
Private,589,575,148,474,258,12.4,68
Public,3121,2446,822,3480,776,16.1,61
Private,584,497,175,662,121,11.3,62
Private,2212,1538,408,1445,1,11.1,88
Private,461,381,174,738,55,13.3,51
Private,1456,1053,381,500,541,15.6,87
Private,355,300,142,509,44,10.7,65
Private,1040,845,286,967,24,12.7,79
Private,361,321,185,650,819,14.2,52
Private,2929,1834,622,2738,1662,15.1,84
Private,4010,2402,572,2018,226,10.5,92
Private,544,399,177,600,363,12.5,75
Private,979,638,271,968,20,10.7,77
Private,497,452,231,887,1957,17.2,57
Public,2336,1725,1043,5438,4058,18.4,26
Private,831,538,224,840,325,16.1,60
Public,1166,1009,510,2074,341,17.0,51
Private,1243,947,324,1129,74,10.1,77
Private,1470,1199,425,1820,558,13.3,94
Private,1386,1060,320,965,502,12.3,85
Private,6397,4304,1092,4298,132,12.5,91
Private,979,743,259,1188,166,12.0,66
Private,244,198,82,1134,336,27.8,58
Private,477,417,204,1532,77,20.8,56
Private,2774,2092,482,1763,59,12.3,69
Private,1154,1050,395,2192,1423,14.3,61
Private,787,562,363,925,605,14.6,53
Public,1660,1091,326,1196,33,12.6,45
Private,810,484,356,2155,191,24.1,100
Private,1561,1188,458,1548,840,17.8,81
Private,900,473,217,621,11,10.4,92
Public,3570,2215,651,3390,325,16.1,63
Public,2747,1870,724,2874,118,18.4,62
Private,1641,1283,527,1663,170,14.2,70
Private,2013,1053,212,912,158,10.5,59
Public,5996,4993,3079,16269,3757,15.9,37
Public,2397,2144,1525,6720,1822,20.0,45
Private,4076,3137,738,3010,184,14.7,80
Private,3768,2662,753,3558,436,14.2,84
Private,1891,1698,719,2740,761,11.7,53
Private,3579,2959,868,5244,3417,6.2,65
Private,1549,1392,587,2269,85,13.8,77
Private,1286,1005,363,1363,74,14.0,72
Private,1756,1500,366,1524,280,12.4,70
Public,535,502,223,959,150,12.6,51
Private,2939,1496,452,1723,113,11.9,77
Private,740,558,177,628,63,10.8,59
Private,874,758,428,1605,246,17.6,55
Private,1004,802,239,909,51,11.8,64
Private,2432,1730,563,2578,254,13.6,79
Private,962,750,212,830,150,11.3,70
Public,3073,2672,1547,9649,1792,19.0,68
Private,824,670,337,1160,653,8.4,59
Private,1611,960,342,1089,210,13.2,96
Private,4731,3171,830,3557,658,17.6,69
Private,5152,4600,1685,7016,804,13.5,77
Private,4226,3666,2007,7703,2339,16.6,50
Private,499,441,199,846,377,6.8,90
Public,4350,2178,756,2997,736,17.6,84
Private,478,327,117,731,370,10.3,77
Private,695,535,239,988,785,11.7,68
Private,941,772,214,1247,776,10.6,55
Private,1464,888,176,624,128,11.1,51
Private,549,397,169,1343,1751,13.1,61
Private,1107,859,323,1452,402,11.8,66
Private,6411,2140,1078,4481,28,10.1,94
Public,233,233,153,658,58,15.7,51
Private,1002,555,119,836,684,17.7,52
Private,578,411,187,880,477,11.0,32
Private,420,293,93,336,80,9.8,48
Private,2286,1668,564,2943,1260,9.2,91
Private,1557,1074,397,1805,433,16.7,78
Private,857,772,376,1721,470,13.9,82
Private,1981,1541,514,1927,1084,16.8,80
Public,1584,1456,891,3471,911,28.8,59
Private,1742,1382,607,2258,53,14.1,89
Public,9239,7788,3290,13606,807,17.6,85
Public,18114,15096,6180,26640,4120,14.0,71
Public,2618,2288,1032,5524,414,17.0,65
Private,331,331,225,1100,166,15.4,49
Public,6011,3075,960,5146,1532,16.8,71
Private,610,461,189,685,49,12.0,64
Private,1444,1261,456,1788,95,11.4,75
Private,905,834,319,1073,179,12.7,58
Private,1217,1088,496,1773,884,16.7,67
Private,594,385,307,1695,721,16.5,61
Public,4255,3277,1609,10094,1621,15.9,53
Public,480,405,380,1673,1014,15.8,63
Public,1576,1326,913,3689,2200,20.3,100
Private,1310,983,316,1057,175,17.4,27
Private,601,503,204,671,11,11.6,56
Private,2707,1881,478,1893,847,14.2,54
Public,572,544,320,1470,416,16.4,74
Public,3500,2836,1779,8730,993,17.6,37
Public,5220,2128,865,6411,3186,21.5,58
Private,263,223,103,316,20,11.1,15
Public,2442,2164,1189,5983,1075,18.1,60
Private,1232,955,303,1241,485,15.2,74
Private,3708,1678,722,2852,153,17.8,83
Private,586,533,239,950,228,13.0,56
Private,882,730,330,926,12,18.6,60
Private,1800,1314,526,1891,40,9.0,84
Private,279,276,126,600,435,11.7,44
Private,235,217,121,931,487,10.7,78
Private,368,317,159,806,542,11.3,64
Private,325,284,95,364,88,13.6,21
Private,1321,1159,328,1243,79,12.8,80
Private,1170,695,238,1170,429,15.3,88
Private,657,537,113,1039,466,11.9,72
Private,1310,1086,458,1365,144,16.7,81
Private,510,485,334,1114,94,19.8,58
Private,2519,1836,462,1656,352,12.8,83
Public,2225,1910,1190,5968,955,20.2,52
Private,1109,922,375,1115,70,13.4,73
Private,513,347,279,2508,505,18.3,71
Private,947,798,266,1274,471,13.6,61
Public,1879,1216,483,3311,1646,13.5,72
Public,787,601,233,1017,411,13.7,34
Private,13594,7244,2505,12408,2814,7.8,71
Private,872,722,154,601,36,11.4,83
Private,2220,1796,467,1919,334,14.2,65
Public,1563,1005,240,1380,136,14.2,57
Public,4809,3089,1429,6162,871,16.7,44
Public,10634,7064,3176,16505,5481,17.5,62
Private,812,689,195,646,84,12.7,52
Private,1127,884,308,1310,766,16.4,76
Public,2968,2297,1610,7368,1128,17.0,42
Private,465,361,176,879,156,13.1,74
Public,6040,4577,1620,5640,266,15.7,76
Private,11901,8492,2517,11160,10221,12.9,46
Public,5891,4931,1973,11249,2682,21.7,41
Public,10706,7219,2397,14826,1979,17.3,56
Public,2729,2535,1257,4787,472,21.7,54
Private,616,514,385,1115,60,14.8,58
Private,860,811,366,1040,52,14.9,68
Private,12289,5200,1902,7450,45,6.8,92
Private,1743,1625,626,1862,382,13.1,63
Private,379,324,107,500,311,12.1,33
Public,3041,2581,1173,6441,3982,19.7,53
Private,4778,2767,678,2587,120,10.1,83
Private,2324,1319,370,1686,35,10.5,79
Private,792,649,186,769,377,13.1,67
Private,2936,2342,669,2502,66,14.5,83
Public,11023,8298,3183,14861,1310,20.4,64
Private,2190,1700,458,1780,48,12.1,75
Private,758,681,484,1707,705,15.1,50
Private,776,765,351,1419,228,16.2,45
Public,4522,3913,2181,12830,1658,15.3,48
Private,1496,1205,428,1648,936,13.9,87
Private,910,773,450,1310,61,13.3,65
Private,2308,1336,295,1202,942,14.9,37
Private,8256,3750,1522,5809,4379,13.8,62
Private,1603,1392,504,2580,302,11.0,83
Private,940,668,385,1316,139,12.3,69
Private,943,849,288,1041,35,10.9,42
Public,944,774,440,2174,529,15.0,48
Public,19315,10344,3450,28938,2025,18.1,63
Private,3821,2037,680,2488,625,11.6,66
Public,701,501,458,959,457,20.1,44
Private,838,651,159,654,162,12.2,48
Private,1538,1259,468,1664,1042,12.9,68
Private,692,576,174,597,83,11.6,39
Private,663,562,127,641,63,13.2,31
Private,404,400,169,797,100,13.4,61
Private,1133,630,220,750,30,10.4,73
Private,809,687,428,1889,217,16.1,54
Private,875,744,207,1173,1402,14.5,66
Private,1132,847,302,1379,214,10.4,62
Public,2405,2234,1061,4564,448,19.4,35
Private,1082,832,302,1133,30,13.4,85
Private,13218,2042,1153,4540,146,8.4,99
Private,5139,3346,973,3717,1358,18.4,96
Public,21804,18744,5874,26213,4065,18.2,67
Private,516,392,154,630,549,14.0,58
Private,1025,707,297,1070,72,16.3,80
Private,3712,2153,806,2677,714,12.0,86
Public,5702,4894,1742,8077,472,19.6,62
Public,2088,957,362,2745,1938,17.8,47
Private,1771,1325,306,1071,27,10.7,74
Private,696,616,169,653,56,9.2,68
Private,1966,1436,327,1199,61,11.8,68
Private,427,385,143,581,533,10.3,84
Private,4996,4165,936,4291,16,15.4,70
Private,2302,1831,391,1345,59,10.8,77
Private,3586,2424,730,2748,1309,12.3,70
Private,587,501,211,735,28,9.4,64
Private,484,386,141,590,1196,12.2,81
Private,2227,1790,437,1460,239,13.0,72
Private,935,858,345,1127,754,10.7,79
Private,560,392,270,743,118,11.3,68
Private,3304,2804,679,2111,1489,16.4,61
Private,1777,1151,382,1668,1052,13.3,90
Private,434,321,141,624,269,12.9,81
Public,3820,1431,695,5303,3942,22.1,51
Public,48094,26330,4520,21401,3712,19.5,77
Public,3366,1752,232,2585,1300,18.6,57
Public,5785,2690,499,4005,1886,17.4,58
Private,2307,1896,509,1707,1889,14.8,82
Private,897,718,276,1345,390,14.1,70
Private,2095,1553,514,1873,94,14.5,97
Public,3971,3306,1921,11493,2206,18.9,58
Private,213,166,85,513,247,12.5,48
Private,1046,824,284,1223,451,19.3,69
Private,933,800,444,1691,72,12.0,70
Private,920,684,225,815,222,14.8,67
Private,833,682,217,716,2196,27.2,85
Private,2519,2003,776,2473,1314,17.4,83
Private,292,241,96,543,712,11.2,76
Private,3294,2855,956,4576,1140,4.6,67
Private,888,734,393,1433,27,9.9,98
Private,876,802,367,1263,118,18.8,78
Private,150,130,88,341,768,10.2,75
Private,1910,1380,463,1715,106,14.5,84
Private,2248,1673,745,2888,105,10.0,83
Private,1606,1413,530,1921,1154,12.1,53
Private,700,595,278,1035,182,12.3,88
Private,785,647,295,1670,726,13.7,55
Private,489,384,120,700,45,13.0,98
Private,335,284,132,534,216,11.2,60
Public,4216,2290,736,4296,1027,17.9,56
Private,1680,1395,691,2959,402,14.7,61
Public,9402,7020,2151,16407,5550,19.5,41
Private,4019,2779,888,3891,128,13.9,100
Private,1380,768,263,1000,105,6.1,83
Private,1109,688,386,1897,208,16.1,55
Private,584,413,131,521,99,11.8,52
Private,855,632,139,569,7,8.2,73
Private,1183,1016,411,1922,704,16.8,66
Private,2115,1540,494,2993,347,12.2,89
Private,4576,3565,1000,4384,1530,14.4,64
Private,936,794,197,752,210,11.2,71
Public,5818,3281,1116,5268,300,18.8,72
Private,540,445,165,1115,111,13.2,58
Private,2961,1932,628,2669,616,14.1,100
Private,464,419,183,686,287,7.2,47
Private,1003,782,295,1144,160,8.9,79
Private,1016,872,300,1116,602,15.8,70
Private,437,400,211,614,271,14.8,48
Private,4293,2728,591,2322,263,12.7,81
Private,2925,1598,632,2479,95,10.3,90
Public,2807,2589,1701,7000,1103,15.0,67
Public,2281,1870,1408,6553,1246,17.1,45
Public,818,700,447,2962,651,19.6,53
Private,385,340,193,784,127,18.6,43
Public,2540,2195,994,6063,2550,16.5,43
Private,4301,3455,1166,4892,387,13.5,72
Private,1093,1093,642,1770,967,15.9,71
Public,6118,5254,3204,13131,3374,19.9,56
Public,1047,938,511,2091,546,16.5,51
Private,321,318,172,620,280,13.0,36
Private,213,155,75,504,147,11.8,52
Private,1244,912,352,1177,43,11.3,67
Private,283,201,97,589,263,10.6,89
Private,3713,1237,443,1971,107,12.5,65
Private,372,362,181,1501,353,15.4,49
Private,1489,1313,375,1688,131,17.7,78
Private,323,278,122,393,4,7.2,64
Private,1368,1064,354,1687,677,14.5,66
Private,2753,1820,505,1801,45,11.5,85
Private,191,165,63,494,574,14.5,40
Private,2643,1611,465,2615,248,16.1,78
Public,1340,695,285,1315,209,11.6,63
Private,1243,1020,414,2149,418,16.2,72
Private,1334,1243,568,1946,95,15.1,88
Private,651,581,243,617,34,14.0,45
Private,861,609,215,1117,815,16.1,67
Private,450,405,194,614,388,10.9,59
Private,1557,1227,489,1964,81,12.5,73
Private,1768,1249,380,1263,11,19.0,79
Public,4019,1579,710,4365,765,19.5,64
Private,3646,2300,585,2022,926,13.0,97
Public,13528,9198,1843,10168,1231,17.4,74
Public,14463,6166,1757,8544,671,18.0,80
Public,15039,9649,3087,13963,3124,13.6,56
Public,12512,6969,1724,9744,1351,10.5,57
Public,7294,3564,904,5758,1363,19.0,49
Public,8000,4556,1464,6943,869,22.0,63
Public,5318,3515,1025,7626,2091,18.7,42
Public,7888,3519,1036,5011,346,17.8,53
Public,4877,2798,814,4123,298,16.3,66
Public,8598,4562,1143,5060,146,19.1,76
Public,8399,3609,656,4658,1478,15.3,53
Public,5549,3583,853,5004,475,17.9,65
Public,3150,2289,650,3598,234,15.1,59
Public,2119,1264,390,2478,1441,14.9,46
Private,2096,1512,465,1442,166,13.9,90
Private,462,402,146,527,41,6.5,61
Private,10477,7260,2442,10142,117,11.3,67
Private,257,183,109,396,38,10.0,53
Private,4414,1500,335,908,119,15.5,46
Private,1769,1092,437,1757,81,14.2,98
Private,232,182,99,402,237,8.9,36
Public,14474,10519,6392,31643,2798,23.1,69
Public,529,481,243,1206,134,17.4,43
Private,4095,3079,1195,5064,660,14.8,64
Private,497,423,215,895,429,13.8,50
Public,4345,3245,2604,5584,3101,18.2,10
Private,592,501,279,1204,392,14.5,43
Public,1500,1242,611,2024,292,17.1,84
Private,1154,951,253,791,140,11.6,60
Private,845,734,254,662,351,19.0,39
Private,759,729,244,867,51,12.1,70
Public,5042,2312,944,5167,902,14.4,81
Private,1262,1102,276,978,98,12.8,65
Private,3058,1798,478,1737,244,10.4,91
Private,247,189,100,309,639,8.3,96
Private,222,185,91,484,541,10.4,78
Private,2425,1818,601,2110,95,9.6,93
Private,7033,5125,1223,4941,1534,9.1,74
Private,626,372,145,983,40,21.9,52
Private,2267,1827,611,2825,144,12.2,65
Private,484,384,177,634,78,14.1,64
Private,3495,1712,528,1915,123,11.5,88
Public,4800,2900,1515,7764,1472,19.2,56
Public,1797,1260,938,6960,4698,6.7,33
Public,3235,3108,2133,9978,1530,14.8,39
Public,19873,8252,3215,19532,2061,15.8,78
Public,15698,10775,2478,12677,864,16.1,66
Public,6986,2959,1918,12330,7152,22.2,46
Private,682,535,204,771,611,2.5,57
Private,6348,2999,922,3340,39,5.3,90
Public,6855,5553,2408,11036,2011,10.8,54
Public,9735,7187,2064,12478,1660,16.0,71
Private,681,588,246,1058,73,13.4,63
Private,6361,5293,1507,5889,665,14.8,93
Private,14446,10516,3252,14130,4522,18.3,75
Private,2974,2001,580,2666,554,15.9,67
Private,927,731,415,2149,2217,13.5,51
Private,576,558,137,662,131,16.5,45
Private,2096,1626,694,2551,407,15.8,77
Public,12445,8836,3623,24470,3286,13.4,66
Public,11220,7871,3320,19553,2748,14.7,63
Private,5081,4040,1194,3768,1415,10.7,66
Public,3580,2603,1627,11028,2411,11.8,54
Public,14939,11652,5705,25422,911,17.4,81
Public,8384,5727,2710,13518,2916,10.0,34
Private,1487,1276,388,1417,1646,11.1,69
Public,8579,5561,3681,17880,1673,13.7,57
Private,1597,969,226,1431,1522,14.1,47
Public,4777,3057,1823,9844,6198,11.1,31
Public,1208,803,438,1906,344,15.9,59
Public,441,369,172,633,317,15.1,64
Public,461,381,235,974,503,15.2,35
Public,4269,2594,985,6476,2592,18.4,55
Public,14292,10315,3409,19340,3991,18.1,63
Public,14438,12414,3816,16282,1940,16.7,68
Public,3347,2597,1006,4664,1630,15.0,56
Private,7122,5386,1643,7760,876,5.9,59
Public,19152,12940,4893,22045,1339,11.5,87
Public,4192,3126,1656,5887,1254,19.0,53
Public,1458,874,588,1846,154,14.6,51
Public,11054,6397,3524,16502,21836,12.2,45
Public,3844,3383,1669,7524,804,20.3,53
Public,6574,4637,2940,14782,1583,12.7,58
Public,1877,1826,823,3926,561,14.4,49
Public,1618,1141,479,4793,4552,13.4,48
Private,452,331,269,1417,301,16.6,52
Public,1351,892,570,2385,331,18.9,51
Public,6277,6003,3526,16454,3171,15.1,53
Private,1209,750,265,820,159,11.4,64
Public,9750,7640,2529,10358,1338,17.5,75
Public,1757,979,394,2033,1078,13.0,37
Public,14596,5985,3331,14609,1100,8.9,83
Public,5803,4441,1730,10099,3255,16.8,62
Public,5191,4134,1500,7532,1847,15.5,53
Public,6071,3856,1449,6635,1145,19.1,55
Public,2777,2249,1652,8334,1435,15.9,49
Public,1800,1253,560,3876,3588,17.8,47
Public,4418,2737,2049,14047,5134,22.6,35
